year,ein,object_id,taxpayer_name,name,business_name1,business_name2,title,org_comp,related_comp,other_cmp,form,source,IndvdlTrstOrDrctrInd,InstttnlTrstInd,OffcrInd,KyEmplyInd,HghstCmpnstdEmplyInd,FrmrOfcrDrctrTrstInd
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Regina M Benjamin MD,,,Director,0,111068,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Thomas W Chapman EdD,,,Director,0,227466,18000,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Jeffrey E Epstein,,,Director,0,214672,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Daniel Garcia,,,"SVP, Chief Compliance Officer",0,1530525,100746,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,William R Graber,,,Director,0,255742,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,J Eugene Grigsby III PhD,,,Director,0,226900,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Leslie S Heisz,,,Director,0,214281,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,David Hoffmeister,,,Director,0,205066,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Judith Johansen,,,Director,0,242558,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Kim J Kaiser,,,Director,0,226996,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Philip A Marineau,,,Director,0,226213,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Edward YW Pei,,,Director,0,230964,18000,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Margaret E Porfido,,,Director,0,255935,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Richard Shannon,,,Director,0,226500,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Cynthia A Telles PhD,,,Director,0,251566,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Bernard Tyson,,,Chairman & CEO,0,5863794,176229,IRS990,Frm990PrtVIISctnA,X,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Maryann Bodayle,,,Assistant Secretary,0,168202,19335,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Kathryn Lancaster,,,EVP & CFO,0,2591094,217751,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Donna Lynne,,,"EVP, GP & Region Pres - CO",0,1560663,965782,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Andrew McCulloch,,,Region President - Northwest,0,1168149,438831,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Thomas Meier,,,"SVP, Corporate Treasurer",0,1016347,73599,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Donald Orndoff,,,"SVP, NFS",0,1197707,190253,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Jacqueline Sellers,,,Assistant Secretary,0,277974,50096,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Arthur Southam,,,"EVP, Health Plan Operations",0,2839616,98493,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Deborah Stokes,,,"SVP, Controller & CAO",0,862251,64249,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,William Wiechmann,,,Assistant Secretary,0,425248,108443,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Victoria Zatkin,,,"VP, Off of Brd & Corp Gov Svcs",0,457349,83732,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Mark Zemelman,,,"SVP, General Counsel & Secy",0,1599287,159419,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Mark Charpentier,,,"VP, Mktg/Sls/Bus Dev/Comm - NW",0,203880,22878,IRS990,Frm990PrtVIISctnA,,,,X,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Keith Forrester,,,"VP, MSBD - Northwest",0,296544,84119,IRS990,Frm990PrtVIISctnA,,,,X,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,David Lake,,,"VP, Strategy & Health Plan Ops",0,328613,94150,IRS990,Frm990PrtVIISctnA,,,,X,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Susan Mullaney,,,"VP, COO - NW",0,424442,102854,IRS990,Frm990PrtVIISctnA,,,,X,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Karen Schartman,,,VP & CFO,0,499139,104996,IRS990,Frm990PrtVIISctnA,,,,X,,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Stephen Shawn Barton,,,"Exec Dir, Revenue Cycle - NW",0,367529,54577,IRS990,Frm990PrtVIISctnA,,,,,X,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Mary L Durham,,,"VP, The Center Health Research",0,516906,73047,IRS990,Frm990PrtVIISctnA,,,,,X,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Adam Nemer,,,"Exec Dir, Claims Memb & Ben",0,321068,45296,IRS990,Frm990PrtVIISctnA,,,,,X,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Wendy N Watson,,,"VP, Regl Prof Services",0,310203,66248,IRS990,Frm990PrtVIISctnA,,,,,X,
2017,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Kenneth R Wright,,,"VP, Dental Care Svcs - NW",0,369083,124296,IRS990,Frm990PrtVIISctnA,,,,,X,
