period,ein,object_id,taxpayer_name,name,business_name1,business_name2,title,org_comp,related_comp
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Stephen Shawn Barton,,,"Exec Dir, Revenue Cycle - NW",0,367529
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Maryann Bodayle,,,Assistant Secretary,0,168202
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Thomas W Chapman EdD,,,Director,0,227466
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Mark Charpentier,,,"VP, Mktg/Sls/Bus Dev/Comm - NW",0,203880
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Erin Downing,,,Special Assistant to the Board,0,134369
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Mary L Durham,,,"VP, The Center Health Research",0,516906
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Jeffrey E Epstein,,,Director,0,214672
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Keith Forrester,,,"VP, MSBD - Northwest",0,296544
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Daniel Garcia,,,"SVP, Chief Compliance Officer",0,1530525
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,William R Graber,,,Director,0,255742
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,J Eugene Grigsby III PhD,,,Director,0,226900
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Leslie S Heisz,,,Director,,214281
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,David Hoffmeister,,,Director,,205066
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Judith Johansen,,,Director,,242558
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Kim J Kaiser,,,Director,,226996
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,David Lake,,,"VP, Strategy & Health Plan Ops",,422763
201512,930798039,201633149349303238,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Kathryn Lancaster,,,EVP & CFO,,2808845
